ID,NAME,TYPE,1ST CAT,2ND CAT,OTHER CATS,SMALL DESC,BIG DESC,IMG,PDF,,
34,PCE/PCH,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,Available Soon," Features :
Enclosed or semi-open impeller Gland packed / Mechanical Seal Interchangeability of components 50 Hz / 60 Hz availability.

Application :
Oil Sugar Textile and process industries Air-conditioning Water treatment plants Distilleries Condensate extraction.

Specification :
Delivery size : up to 80 mm
Capacity : up to 120 m3 /hr
Head : up to 70 metres
Temperature : Upto 140 degree C",https://www.kirloskarhcjainsales.com/pro/pump/5df1e9ba3256b.jpg,https://www.kirloskarhcjainsales.com/pro/pump/PCE_PCH.pdf, ,
35,ROMAK,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,Romak (RMK) pump is a Magnetic Drive Pump comprising Permanent magnets. It is a sealless pump and is used for handling various types of clear/ clean chemical liquids without any suspended particles in process industries.,"Features :
Seal less and glandless pump
End suction pump comprises of permanent magnet

Application :
Chemicals : Paints, solvents, intermediaries, resin, polymers, other Acidic and basic chemicals
Pharmaceuticals
Petrochemicals

Specification :
Delivery size : Up to 100mm
Capacity : Up to 300 m3/hr
Head : Up to 150 m
Working pressure : 16 bar
Temperature : (-) 50 °C to 180 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1eb22f27ac.jpg,https://www.kirloskarhcjainsales.com/pro/pump/ROMAK.pdf, ,
36,AT PUMP,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,AT pump is used in handling Thermic fluids across various applications in process industries. The pump can handle fluid upto 350°C. The design is as per standard - EN 22858.,"Features :
The pump is integral foot mounted for given temperature range
More reliable for thermal isolation of volute casing
Balanced or Unbalanced maintenance free standard mechanical seal
No additional cooling required (air cooled)
Pump with grafoil packing at stuffing box cavity

Application :
Thermic fluid
Synthetic oil
Hot oil

Specification :
Delivery size : 32 to 80 mm
Capacity : up to 250 m3/hr
Head : up to 100 meters
Working pressure : 16-25 bar
Temperature : +180°C to +350°C
",https://www.kirloskarhcjainsales.com/pro/pump/5df1ebd0e40a5.jpg,https://www.kirloskarhcjainsales.com/pro/pump/A4_AT_Pump_Leaflet_updated.pdf, ,
37,GK (P) PUMP,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,"These pumps are developed for process applications and are generally conforming to ISO 2858 / DIN EN 22858 / ISO 5199. These pumps are ideal for Acids / Alkalies, Hydrocarbons, oils, Various Process Chemicals, Food processing units. Delivery size up to 150 mm.

","Features :
End suction centrifugal process pump.
Back pull out design.
Top centerline discharge with foot mounted as well as centerline volute casing.
Availability of cooling jackets to cool stuffing box for liquids having temperature more than 105 deg. cel.

Application :
Acids / Alkalies
Hydrocarbons, oils
Various Process Chemicals
Food processing units

Specification :
Delivery size : Up to 150 mm
Capacity : up to 500 m3/h
Head : up to 150 m
Working pressure : 16-25 bar
Temperature : Up to 180°C",https://www.kirloskarhcjainsales.com/pro/pump/5df1ecbd21cac.jpg,https://www.kirloskarhcjainsales.com/pro/pump/GK(P).pdf, ,
38,i-CP,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,As per design standard - ISO 2858 / DIN EN 22858 / ISO 5199.,"Features :
Seal less and glandless pump
End suction pump comprises of permanent magnet

Application :
Chemicals : Paints, solvents, intermediaries, resin, polymers, other Acidic and basic chemicals.
Pharmaceuticals
Petrochemicals

Specification :
Delivery size : Up to 100mm
Capacity : Up to 300 m3/hr
Head : Up to 150 m
Working pressure : 16 bar
Temperature : (-) 50 °C to 180 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1ed5844a85.jpg,https://www.kirloskarhcjainsales.com/pro/pump/iCP.pdf, ,
39,i-CM PUMP,PUMP,INDUSTRIAL PUMPS,PROCESS PUMPS,,"Canned Motor pumps are ideal for pumping corrosive and noxious fluids that are used in chemical and process industry, refrigeration plants, paint industry and refinery & petrochemicals.

","Features :
i-CM pump is end suction type sealless, glandless and emission-free Canned motor pump, having integral motor design due to which it is compact in construction and light in weight.
Sealless and glandless pump.
Integrated motor design due to which it is compact in construction and light in weight.

Application :
Liquefied gases (e. g. ammonia, freons, carbon dioxide, amines, vinyl chloride, ethylene oxide, phosgene (>150°C), etc.
% Aggressive / toxic /explosive / hazardous / flammable chemicals (sulfuric acid, nitric acid, hydrofluoric acid, hydrocyanic acid, ethanoic acid, formic acid, etc.)

Specification :
Delivery size : 32 to 50 mm
Capacity : 4 to 80 m3/hr
Head : Up to 60 m
Working pressure : 16 bar
Temperature : Up to 90 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1ede1571e0.jpg,https://www.kirloskarhcjainsales.com/pro/pump/I-CM.pdf, ,
40,NS,PUMP,INDUSTRIAL PUMPS,SEWAGE SUBMERSIBLE PUMPS,,"These are single stage, single suction pumps with overhung non-clogging impeller. Pumps can be offered in stationary as well as transportable arrangements. The stationary arrangement is supplied with pump connector unit and the connector unit is connected to pump support bracket with rubber diaphragm to make it leak proof joint.","Features :
Non-clog two vane or single vane enclosed impeller
Permissible solid size up to 85 mm
Gland packed / Mechanical seal
50 HZ / 60 HZ availability

Application :
Effluents
Raw Sewage
Storm Water
Waste Water

Specification :
Delivery size : from 40 mm to 200 mm
Capacity up : to 750 m/hr
Head up : to 48 m
Temperature : (-) 10°C to 90°C",https://www.kirloskarhcjainsales.com/pro/pump/5df1f12d58b86.jpg,https://www.kirloskarhcjainsales.com/pro/pump/NS_2900RPM-Catalogue.pdf, ,
41,INS,PUMP,INDUSTRIAL PUMPS,SEWAGE SUBMERSIBLE PUMPS,,These are single suction pumps with overall non clogging impeller. Pump can be officered in stationary as well as transportable arrangements. The stationary arrangement is supplied with pump connector unit and connector unit is connected to pump support bracket with rubber diaphragm to make it leak proof joint.,"Features :
Impellers are with two or multi vanes in semi open and enclosed to cater wide application.
Permissible solid size up to 125 mm.
Double mechanical seal with back to back arrangement to ensure no ingress of pumping liquid in the motor.

Application :
Delivery size : Up to 150 mm
Capacity : up to 300 m3/h
Head : up to 50 meters
Permissible solid size : up to 125 mm
Motor rating : up to 22kW

Specification :
Contaminated Effluents
Industrial Waste Water
Storm Water
Trench and Tunnel Water
Drain Water
Saline Water
Drainage Water
Sewage Water",https://www.kirloskarhcjainsales.com/pro/pump/5df1f39848ff6.jpg,https://www.kirloskarhcjainsales.com/pro/pump/i-NS_catalogue_(1).pdf, ,
42,SHM,PUMP,INDUSTRIAL PUMPS,SOLID HANDLING PUMPS,,"SHM are horizontal non-clog pumps having single stage, single suction with back pull out type design. SHS are vertical non-clog pumps for wet pit applications. The pump section is suspended by a column pipe which also protects the transmission shaft. These pumps can be offered with a column length up to 6.5 m. The impeller is single suction type non-clog, free flow dynamically balanced. For SHM pumps the standard lubrication is grease and the optional one is oil. In case of SHS pumps the lubrication is grease based. These pumps are widely used in paper industries, water carrying gravel and so on.","Features :
Solid size up to 105 mm
Back pull-out design
Gland packed / Mechanical Seal
50 Hz / 60 Hz availability
Also available in vertical execution

Application :
Sludge
Sewage
Power material slurries
Sugar factory waste

Specification :
Delivery size : up to 200 mm
Capacity : up to 800 m³/hr
Head : up to 90 m
Temperature : (-) 10 °C to 140 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1f429ce0ef.jpg,https://www.kirloskarhcjainsales.com/pro/pump/shm.pdf, ,
43,MF,PUMP,INDUSTRIAL PUMPS,SOLID HANDLING PUMPS,,"These low head high capacity pumps can be either gland packed or mechanically sealed. Delivery options can be of either horizontal or vertical. These are majorly used in air conditioning, irrigation, drainage and storm water. Delivery size can vary from 200 mm to 650 mm.","Features :
Low head, high capacity pumps
Gland packed / Mechanical Seal
50HZ / 60 HZ availability
Option available in horizontal as well as vertical delivery position

Application :
Drainage
Storm water
Irrigation
Air-conditioning

Specification :
Delivery size : up to 650 mm
Capacity : up to 7000 m³ /hr
Head : up to 30 m
emperature : (-) 5 °C to 140 °C",https://www.kirloskarhcjainsales.com/pro/pump/5df1f53c9ccde.jpg,https://www.kirloskarhcjainsales.com/pro/pump/01_MF.pdf, ,
44,SHS VERTICAL SUMP PUMP,PUMP,INDUSTRIAL PUMPS,SOLID HANDLING PUMPS,,Kirloskar SHS is sump pump for solid handling application. It is suitable for pit depth upto 9 metre.,"Features :
Available Soon


Application :
Liquids with solids in suspension
Sludes & pulpy material
Industrial waste handling
Liquid containing fibrous & powdered material
Coal tar
Effluent

Specification :
Delivery size : 50 to 300 mm
Capacity
Head
Pit Depth : up to 9 m",https://www.kirloskarhcjainsales.com/pro/pump/5df1f610b16bf.jpg,https://www.kirloskarhcjainsales.com/pro/pump/SHS.pdf, ,
45,BHR / BHQ / BHM / BHK/ BHMa / BHA,PUMP,INDUSTRIAL PUMPS,VERTICAL TURBINE PUMPS,,"Theses pumps are constructed rigidly to ensure vibration free operation. Hydraulic design is being updated with our continuous R&D efforts to meet requirements of higher efficiency and lower submergence, taking care of other parameters such as, high reliability and optimum system design.

","Features :
Vibration-free performance Low submergence No priming required Dry pit/Wet pit arrangement available Direct drive/Right angle gear drive Impeller pull-out/Non-pull-out Bowl pull-out/Non-pull-out Gland packed / Mechanical seal 50Hz / 60Hz availability.


Application :
Water supply Pumps Irrigation Pumps Cooling tower Thermal and Nuclear power plants Steel, Cement industries Refineries Sea water on off-shore platforms Condensate extraction Fire fighting Pumps Flood control Dry Docks.


Specification :
Delivery size : up to 2200 mm
Capacity up : to 40,000 m3 /hr
Head : up to 200 m",https://www.kirloskarhcjainsales.com/pro/pump/5df1f8a626ec2.jpg,https://www.kirloskarhcjainsales.com/pro/pump/VT_Pump.pdf, ,
46,BALL VALVES,PUMP,VALVES,BALL,,"These valves are manufactured as per IS: 9890/EN ISO 17292/BS 5351 specifications for wide spread usage in refineries, fertilizers and petro chemical industries. These are single piece/ three piece design, full bore/reduced bore. All compliance as well as application design and testing standards are maintained for smooth functioning of these valves.

","Features :
Single piece / three piece design, full bore / reduced bore Ends - Screwed / Socket weld / Flanged end.


Application :
Refineries Fertilizers & Petro Chemical Thermal Power Stations Process Industries.


Specification :
IS : 9890 / EN ISO 17292 / (BS 5351)
Range : Sizes 15 mm to 300 mm Pressure Class 150# and 300#
End Connections : Flanged / Screwed / Socket Weld
",https://www.kirloskarhcjainsales.com/pro/pump/5df2073a7f9d6.jpg, , ,
47,WAFER AND LUGGED BFV,PUMP,VALVES,BUTTERFLY,,"KBL is pleased to offer top-of- line product in pipeline flow control. Kirloskar wafer and lugged Butterfly valves have been developed with extensive application, design and manufacturing expertise. These products are produced by employing modern manufacturing practices under a robust quality assurance system. These practices ensure consistent product quality and dependable performance.","Features :
Top plate double drilled to fit ISO 5211 dimensions and standard secondary bolt circle dimensions Unique centre-lock seat design virtually eliminates any seat movement during the seating and un-seating of the disc Unique stem retention system to provide blow-out proof stem and easy assembly and disassembly of valve Heavy duty one piece wafer and lugged wafer body designed to withstand specified pressures Nylon coated high strength disc with hand polished disc edge and hubs ensures excellent corrosion resistance to several chemical media Heavy duty square grooved seat design with moulded O-ring seals to serve as flange gasket One piece stem with close tolerances double D drive eliminates the need for disc screws or taper pins Heavy duty bearing absorbs the forces acting on the stem / disc assembly due to line pressure.


Application :
Water works Power plants Sewage plants Process industries Chemical and petrochemical plants.


Specification :
Manufacturing Standard : API609/ BSEN 593 (BS 5155)
Size Range : 50 to 600 mm
Pressure Ratings : PN10, PN16
End Connection To suit : ANSI # 125/ 150",https://www.kirloskarhcjainsales.com/pro/pump/5df207ffd1639.jpg, , ,
48,DOUBLE LFANGED BUTTERFLY VALVE,PUMP,VALVES,BUTTERFLY,,"With a low operating torque these valves have very sturdy and robust design. KBL has successfully carried out Flow Test on large size Butterfly Valves including 2200 mm in its in-house Hydraulic Research Centre at Kirloskarvadi. Another feature which makes KBL butterfly valves competitive in the market is its low life cycle cost and lower maintenance. With centric type pressure up to PN 1.6/Class 250, these valves find wide application in water works, water/effluent/sewage treatment plants and so on.

","Features :
Rigid and sturdy design with minimum loss of head across the valve Compact, light weight, low operating torques Eccentric seat geometry results in less wear and tear and longer life Self cleaning and non jamming seat design Gas tight shut-off Self energizing seating design Combined O ring and U cup seating on shaft Through flow disc design for large size Butterfly Valves.


Application :
Water works Power plants Sewage plants Process industries Chemical and petrochemical plants.


Specification :
Manufacturing Standard : S 5155 (BS EN 593)/ AWWA C504/ IS 13095
Size Range : 50 to 4500 mm
Pressure Ratings : PN6, PN10, PN16, PN20 Class -75, 150, 250
End Connection : Double Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df208c6e153a.jpg, , ,
49,CAST STEEL CHECK VALVE,PUMP,VALVES,CHECK,,"These valves find wider usage in water, stream, air, gas and liquids having corrosive properties. These valves are made by using materials after carrying out all quality checks and processed by adhering stringent quality parameters. The rigid sturdy design promises a longer life span.","Features :
Swing check type, Double flanged / butt weld end, bolted cover design Rigid and sturdy design with long service life.


Application :
Naptha and naptha derivatives in oil refineries Water, steam, air, gas and liquids having corrosive properties Suitable for wide range of working conditions of pressures and tempertaure ratings.


Specification :
Manufacturing Standard : BS 1868 Size
Range and Pressure Rating : 25 to 700 mm : Class 150 65 to 700 mm : Class 300 100 450 mm : Class 600
End Connection : Flanged
",https://www.kirloskarhcjainsales.com/pro/pump/5df2095bbf77b.jpg, , ,
50,FOOT VALVES,PUMP,VALVES,FOOT,,This is also known as swing type valve. These valves are designed with perfect flat seating for better sealing. With a pressure rating of PN 0.2 these valves are widely used in suction side of pump to avoid flow reversal.,"Features :
Rigid and sturdy design with minimum loss of head across the valve Perfectly flat seating surfaces for good sealing Preventing entry of foreign body to pump through suction pipe Long service life.


Application :
Used in suction side of pump to avoid flow reversal from pump to sump with monobloc pumps.


Specification :
Manufacturing Standard : IS 4038
Size Range : 50 to 600 mm
Pressure Rating : PN 2
",https://www.kirloskarhcjainsales.com/pro/pump/5df209e082f56.jpg, , ,
51,"FORGED STEEL GATE,GLOBE,CHECK VALVES",PUMP,VALVES,FORGED,,"These valves are widely used in Refineries and Petrochemical Industries, Fertilizer Plant, Thermal Power Plant and other process industries. With socket and screwed end connection, these valves are designed for handling very high pressures. Its rigid and sturdy design along with low pressure across the valve make it a very formidable model in the entire product line.","Features :
Rigid and sturdy design Long service life with leak tightness Back seating surfaces provided integral to bonnet.


Application :
Refineries and Petrochemical Industries Fertilizer Plant Themal Power Plant Other Process Industries.


Specification :
Manufactured Standard : API 602/ BSEN 15761 (BS: 5352)
Size Range : 8 to 50 mm
Pressure Rating : Class 800
End Connections : Socket weld, Screwed End
",https://www.kirloskarhcjainsales.com/pro/pump/5df20a58c476a.jpg, , ,
52,CAST STEEL GATE VALVE,PUMP,VALVES,GATE,,"These valves are widely used as for Naptha and Naptha derivatives in oil refineries. With a flanged end connection, these valves are designed with API 600 standards. Its rigid and sturdy design along with low pressure across the valve make it a very formidable model in the entire product line.

","Features :
Double Flanged / butt weld end, outside crew rising stem, yoke type bonnet Back seating bush arrangement to enable re - packing under pressure Rigid & sturdy design Low pressure loss across the valve Long service life and leak tightness.


Application :
Naptha and naptha derivatives in oil refineries Water, steam, air, gas and liquids having corrosive properties Suitable for wide range of working conditions of pressure and temperature ratings.


Specification :
Manufacturing Standard : API 600
Size Range and Pressure Ratings : 50 to 750 mm : Class 150 50 to 600 mm : Class 300 50 to 350 mm : Class 600
",https://www.kirloskarhcjainsales.com/pro/pump/5df20ae87c21e.jpg, , ,
53,FM APPROVED GATE VALVE,PUMP,VALVES,GATE,,"KBL has emerged as Indias first and only valve manufacturer to get the Certificate of Compliance from Factory Mutual for its fire service water control valves, which covers Outside Screw & Yoke and Non-Rising Stem Gate Valves (Metal Seated).

","Features :
Metal to metal seating for longer service life Rigid and sturdy design with minimum loss of head across the valve Accurate interchangeability of components Accurate parallelism between side flanges Equal taper between wedge faces Perfect machining and press fitting of body and wedge rings Excellent finish on spindle threads resulting in low friction and smooth operation of valves Leak-tightness even after thousands of Open / Close.


Application :
Fire service water control valves.


Specification :
Manufacturing Standard : IS 14846
Size Range : 50 to 250 mm
Pressure Rating : 250 PSI
End Connections : Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df20b7341790.jpg, , ,
54,CAST STEEL GLOBLE VALVE,PUMP,VALVES,GLOBE,,"These valves are widely used for Naptha and Naptha derivatives in oil refineries. With a flanged end connection, these valves are designed with BS1873 standards. Its rigid and sturdy design along with low pressure across the valve make it a very formidable model in the entire product line.","Features :
Double Flanged / butt weld end, outside screw rising stem, yoke type bonnet Back seating bush arrangement to enable repacking under pressure Rigid and sturdy design Long Service Life.


Application :
Naptha and naptha derivatives in oil refineries Water, steam, air, gas and liquids having corrosive properties Suitable for wide range of working conditions of pressures and temperature ratings.


Specification :
Manufacturing Standard : BS 1873
Size : Range and Pressure
Rating : 25 to 400 mm Class 150 25 o 300 mm Class 300
End : Connection Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df20f2a7e973.jpg, ,,
55,CONVENTIONAL KINETIC AIR VALVE,PUMP,VALVES,KINETIC AIR VALVES, ,"Kinetic air valves are commonly used in air venting/air admission services in water pipelines. Performance of a kinetic air valve is severely affected by tampering the valve with an external mechanism. Tamper proof Kinetic Air Valves provide longer service life and cost effective maintenance. With cast iron body, cover and cowl it has a pressure rating of PN 1.0-1.6.","Features :
Double Orifice Type (Small and large orifice), kinetic type Single air valve Non clogging and self sealing balls for trouble free operation Totally tamper proof kinetic air valve series available. Suited for turbid or clear water sewage; releasing air when water mains are being filled and admitting air while being emptied. Cuts loss of water when water mains are full Releasing air accumulated under pressure in pipe during normal conditions.


Application :
Water Supply Lines / Distribution Lines Clear Water and sewage applications.


Specification :
Manufacturing Standard : IS 14845
Size Range : 50 to 250 mm
Pressure Ratings : PN6, PN10, PN16",https://www.kirloskarhcjainsales.com/pro/pump/5df20ff08a2e7.jpg, ,,
56,TAMPER PROOF KINETIC AIR VALVE,PUMP,VALVES,KINETIC AIR VALVES, ,"Kinetic air valves are commonly used in air venting/air admission services in water pipelines. Performance of a kinetic air valve is severely affected by tampering the valve with an external mechanism. Tamper proof Kinetic Air Valves provide longer service life and cost effective maintenance. With cast iron body, cover and cowl it has a pressure rating of PN 1.0-1.6.","Features :
Double Orifice Type (Small and large orifice), kinetic type Single air valve Non clogging and self sealing balls for trouble free operation Totally tamper proof kinetic air valve series available. Suited for turbid or clear water sewage; releasing air when water mains are being filled and admitting air while being emptied. Cuts loss of water when water mains are full Releasing air accumulated under pressure in pipe during normal conditions.


Application :
Water Supply Lines / Distribution Lines Clear Water and sewage applications.


Specification :
Manufacturing Standard : IS 14845
Size Range : 50 to 200 mm
Pressure Ratings : PN6, PN10, PN16, PN 20",https://www.kirloskarhcjainsales.com/pro/pump/5df21141359d0.jpg, ,,
57,KINETIC AIR VALVE AS PER AWWA STANDARD,PUMP,VALVES,KINETIC AIR VALVES, ,"Kinetic air valves are commonly used in air venting/air admission services in water pipelines. Performance of a kinetic air valve is severely affected by tampering the valve with an external mechanism. Tamper proof Kinetic Air Valves provide longer service life and cost effective maintenance. With cast iron body, cover and cowl it has a pressure rating of PN 1.0-1.6.

","Features :
Double Orifice Type (Small and large orifice), kinetic type Single air valve Non clogging and self sealing balls for trouble free operation Totally tamper proof kinetic air valve series available. Suited for turbid or clear water sewage; releasing air when water mains are being filled and admitting air while being emptied. Cuts loss of water when water mains are full Releasing air accumulated under pressure in pipe during normal conditions.


Application :
Water Supply Lines / Distribution Lines Clear Water and sewage applications.


Specification :
Manufacturing Standard : AWWA C512
Size Range : 50 to 200 mm
Pressure Ratings : PN10, PN16",https://www.kirloskarhcjainsales.com/pro/pump/5df211a946cb0.jpg, ,,
58,SWING CHECK TYPE MULTIDOOR REFLUX,PUMP,VALVES,NON RETURN VALVES, ,These valves are very useful in preventing back flow of water to the pump. These valves have minimum head loss and can be very competitive in terms of long service life. These valves are very useful in waterworks pipelines to reduce hammer effect. Non slam and quick closing characteristics have made this product a very demandable one across markets.,"Features :
Swing check type design Rigid and sturdy design with minimum head loss Long service life and leak-tightness of high order Suitable for clear water having turibidity upto 3000 o ppm and temperature of 65 Centigrade (rubber to o bronze / stainless steel seating) and upto 95 Centigrade (Bronze/ bronze, stainless steel / stainless steel seating.


Application :
Used in waterworks piplines to reduce water hammer effect Preventing back flow of water to the pump.


Specification :
Manufacturing Standard : BS 5153 (EN 12334) / IS 5312
Part 1 & 2 Size Range : 40 to 1500 mm
Pressure Ratings : PN6, PN10, PN16
End Connection : Flanged
",https://www.kirloskarhcjainsales.com/pro/pump/5df2126b667f1.jpg, ,,
59,CAST IRON SWING TYPE CHECK REFLUX,PUMP,VALVES,NON RETURN VALVES, ,"These valves are very useful in preventing back flow of water to the pump. These valves have minimum head loss and can be very competitive in terms of long service life. These valves are very useful in waterworks pipelines to reduce hammer effect. Non slam and quick closing characteristics have made this product a very demandable one across markets.

","Features :
Swing check type design Rigid and sturdy design with minimum head loss Long service life and leak-tightness of high order Suitable for clear water having turibidity upto 3000 o ppm and temperature of 65 Centigrade (rubber to o bronze / stainless steel seating) and upto 95 Centigrade (Bronze/ bronze, stainless steel / stainless steel seating.


Application :
Used in waterworks piplines to reduce water hammer effect Preventing back flow of water to the pump.


Specification :
Manufacturing Standard : BS 5153 (EN 12334) / IS 5312
Part 1 & 2 Size Range : 40 to 1500 mm
Pressure Ratings : PN6, PN10, PN16
End Connection : Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df2126b667f1.jpg, ,,
60,NON RISING SPINDLE GATE,PUMP,VALVES,SLUICE,,"These valves are available in non rising as well as rising spindle type suitable for clear water up to 450 C. These valves are designed with total compliance with applicable design and testing standards. All designs are validated for stress analysis. Sluice valves find wide application in water works, water/effluent/sewage treatment plants.","Features :
Rigid and sturdy design Low pressure loss across the valve Suitable for clear water up to 45 C and 5000 ppm turbidity, other fluids with maximum pressure / temperature conditions within the scope of IS:14846 Long service life and leak-tightness even after thousands of open / close cycles.


Application :
Water works Water / Effluent / Sewage treatment plants Fire Fighting Power.


Specification :
Manufacturing Standard : - BS 5163 / IS 14846
Size Range : 32 to 1500mm
Pressure Ratings : PN10, PN16
End Connection : Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df212cc2ea7a.jpg, ,,
61,RISING SPINDLE GATE,PUMP,VALVES,SLUICE,,"These valves are available in non rising as well as rising spindle type suitable for clear water up to 450 C. These valves are designed with total compliance with applicable design and testing standards. All designs are validated for stress analysis. Sluice valves find wide application in water works, water/effluent/sewage treatment plants.

","Features :
Rigid and sturdy design Low pressure loss across the valve Suitable for clear water up to 45 C and 5000 ppm turbidity, other fluids with maximum pressure / temperature conditions within the scope of IS:14846 Long service life and leak-tightness even after thousands of open / close cycles.


Application :
Water works Water / Effluent / Sewage treatment plants Fire Fighting Power.


Specification :
Manufacturing Standard : - BS 5163 / IS 14846
Size Range : 32 to 1500mm
Pressure Ratings : PN10, PN16
End Connection : Flanged",https://www.kirloskarhcjainsales.com/pro/pump/5df21323172a6.jpg, ,,
62,RAVI AC LOW VOLTAGE ,MOTOR,MOTORS,,,,,https://www.kirloskarhcjainsales.com/pro/5/1.jpg,https://www.kirloskarhcjainsales.com/ravi-series-motor.pdf,,
63,ROLLING MILL LOW VOLTAGE ,MOTOR,MOTORS,,,,,https://www.kirloskarhcjainsales.com/pro/5/2.jpg,https://www.kirloskarhcjainsales.com/mill-duty-motor.pdf,,
64,FLAME PROOF LOW VOLTAGE,MOTOR,MOTORS,,,,,https://www.kirloskarhcjainsales.com/pro/5/3.jpg,https://www.kirloskarhcjainsales.com/flame-proof.pdf,,
65,DC LAMINATE YOKE,MOTOR,MOTORS,,,,,https://www.kirloskarhcjainsales.com/pro/5/4.jpg,https://www.kirloskarhcjainsales.com/laminated-DCM.pdf,,
66,CRUMTON MOTORS,MOTOR,MOTORS,,,,,https://www.kirloskarhcjainsales.com/pro/5/5.jpg,https://www.kirloskarhcjainsales.com/LV_Motor_IE2_Catalogue.pdf,,
